Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C2-a_Run119.mzML,NEG_D5-211-C2-b_Run122.mzML,NEG_D5-211-C2-c_Run125.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
164/291.2001mz/6.89min,6930.496,378309.38,46061.45,0.0,0.0,0.0
165/782.1576mz/6.93min,874427.94,833843.1,763492.9,666207.3,646892.06,682069.56
166/271.2279mz/6.94min,89789.65,89301.0,35324.2,116262.07,113562.734,128958.266
167/654.1324mz/6.95min,255446.12,237351.8,211918.73,164343.83,168907.42,182620.95
168/846.1699mz/7.0min,690194.4,636983.75,586957.94,511856.53,493897.88,480843.9
169/718.145mz/7.02min,488503.66,463638.22,446542.03,331069.62,328300.7,344278.5
170/782.1576mz/7.09min,569648.3,540491.56,522495.7,406700.66,398491.06,395664.25
171/325.1842mz/7.12min,153780.34,119658.25,144691.75,1507916.9,1408834.8,1382649.4
172/846.1699mz/7.14min,511073.56,476029.22,459274.84,437910.06,407262.44,378926.16
173/271.2279mz/7.15min,1431407.9,1610510.8,975112.25,1551029.1,1415897.2,1510999.8
174/716.5239mz/7.17min,0.0,0.0,0.0,4218205.5,4593414.5,4817535.0
175/325.1842mz/7.28min,2131096.5,2035603.8,2225115.8,1116550.4,1099892.1,1105853.6
176/327.2904mz/7.25min,49892.492,97359.43,36921.676,120877.375,90870.02,128369.18
177/293.1794mz/7.29min,735747.4,943518.5,1074625.2,0.0,0.0,0.0
179/782.1575mz/7.31min,47919.246,43359.98,34889.473,31104.357,24157.398,29660.324
182/129.9757mz/7.37min,1524657.2,1220047.8,1547980.1,1114153.2,984188.7,1091276.4
184/372.1163mz/7.37min,451424.2,483819.8,522969.47,284230.25,262160.44,305150.28
185/321.2045mz/7.37min,236019.45,258651.98,349076.25,270820.72,202234.8,151748.39
187/338.1949mz/7.37min,471503.88,378760.56,528925.9,540197.3,454381.06,475809.66
189/194.9058mz/7.37min,306840.97,342409.84,383743.3,0.0,6962.125,7886.926
190/114.9341mz/7.37min,775412.94,878201.0,1005206.0,599543.75,597982.8,626391.56
191/116.9285mz/7.37min,15537813.0,17655614.0,19481938.0,11557926.0,11517864.0,12157990.0
193/316.9477mz/7.37min,795290.06,825371.25,863041.1,265236.66,300190.8,336590.97
194/384.9352mz/7.37min,403357.38,406755.16,427882.4,20042.695,44898.793,93909.18
195/353.1426mz/7.37min,24609580.0,26378220.0,28063858.0,7062395.5,6657488.5,7534694.5
