row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
139,144.06655530646088,0.8587467,,,,131,,,,,,,1367193.9,1767067.9,2285624.2,1956413.5,3221015.5,784758.1,
176,144.06660633554725,2.1401117,,,,133,,,,,,,4937351.0,5394218.5,4786195.0,7146671.0,8224528.5,5949400.0,
2058,144.92333384168555,10.207049,,,,20,,,,,,,1370930.8,1407476.2,2018522.5,2049958.1,1257286.6,2362013.5,
1919,144.92333924961645,8.29177,,,,,,,,,,,4992824.5,5011190.0,6068410.0,2.187276E7,4069605.0,6802569.0,
1689,144.92334026894716,7.7084084,,,,49,,,,,,,6305928.0,4638454.0,1025327.2,6838528.5,1.0793844E7,709366.0,
1850,144.923342172962,8.1366625,,,,103,,,,,,,2509705.0,2.2139138E7,3.5548064E7,4311709.0,3029314.0,3.2202194E7,
175,145.05056724987236,2.1391833,,,,133,,,,,,,947109.44,1459906.6,1365864.5,1625637.5,1264942.9,1526489.9,
48,146.04577127759566,0.37801746,,,,10,,,,,,,1.923711E7,1.8979756E7,2.701015E7,2.3542844E7,2.4957008E7,2.0746146E7,
1166,146.0458273917438,6.5755363,,,,28,,,,,,,71131.98,83563.516,114036.51,120963.734,114233.22,152216.31,
2118,146.96118930091174,10.575242,,,,,,,,,,,723100.7,610429.06,1767816.4,668088.75,799801.8,807807.0,
74,147.02977626282248,0.3886653,,,,10,,,,,,,616247.3,914566.75,1165531.8,959053.5,867735.25,993798.1,
144,147.06625035561657,0.8978149,,,,,,,,,,,403410.25,554180.4,314844.16,532632.6,982163.8,501408.12,
153,147.06626467723552,1.082249,,,,,,,,,,,329444.16,392185.78,59959.844,391707.9,668643.5,330005.47,
2044,150.88945016560976,10.155065,,,,,,,,,,,269076.34,2559470.0,196027.66,1997055.8,175037.52,318542.94,
63,151.02598858871042,0.3840455,,,,10,,,,,,,1712049.8,1555524.9,1277824.6,1788262.4,2307112.0,1366737.4,
112,151.02603160109643,0.62482196,,,,156,,,,,,,1858820.4,2237127.8,2222008.8,2541509.0,3614422.2,2569394.5,
499,151.0261738563693,4.0760665,,,,129,,,,,,,197108.16,215534.12,148572.16,299699.66,291151.9,264233.38,
413,151.02618084136392,3.6303368,,,,,,,,,,,84923.49,112703.67,55784.07,159959.17,167790.52,222844.72,
241,151.0400386061723,2.7603226,,,,,,,,,,,361607.84,379430.2,289071.16,420456.53,549176.2,377666.84,
186,151.04006473863024,2.274574,,,,,,,,,,,114893.83,112174.46,118775.25,112985.875,142307.6,111580.38,
2093,153.86849562695596,10.308803,,,,,,,,,,,367751.7,71983.52,886027.9,155855.08,460848.34,338166.28,
7,154.0620755881422,0.35015824,,,,,,,,,,,95064.84,170585.28,368514.12,134993.16,174588.77,280936.2,
60,155.00973226829458,0.3803021,,,,10,,,,,,,452237.0,857380.6,270516.62,702657.56,633455.9,913237.1,
422,155.10780307150156,3.6923645,,,,87,,,,,,,1399144.2,1977831.8,1439179.2,1564498.0,1331246.9,1388420.2,
548,155.10785612269697,4.393303,,,,,,,,,,,0,10620.56,0,32819.426,49558.918,36708.605,
456,156.06668019540473,3.8407862,,,,,,,,,,,124895.945,153856.88,129001.92,131708.2,103848.64,82235.67,
167,156.06668189793956,1.9555092,,,,174,,,,,,,2073524.9,2373655.0,2208720.2,2512873.5,2380177.2,2369211.5,
375,156.06669668127742,3.4240725,,,,122,,,,,,,69837.29,68771.9,59039.203,74426.305,70850.125,39422.113,
395,156.06669870510015,3.4930904,,,,,,,,,,,55934.93,47411.84,38687.24,54648.52,49446.562,41997.754,
400,156.10298436815083,3.5502625,,,,,,,,,,,511555.7,721300.06,493141.16,588990.7,656252.5,533455.9,
